princeps,interacted_with,verdict
ANTIHYPERTENSEURS CENTRAUX,ANTIDÉPRESSEURS IMIPRAMINIQUES,Association DECONSEILLEE
ANTIHYPERTENSEURS CENTRAUX,BÊTA-BLOQUANTS (SAUF ESMOLOL),Précaution d'emploi
ANTIHYPERTENSEURS CENTRAUX,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,Association DECONSEILLEE
ANTIHYPERTENSEURS CENTRAUX,DILTIAZEM,A prendre en compte
ANTIHYPERTENSEURS CENTRAUX,VERAPAMIL,A prendre en compte
ANTIHYPERTENSEURS CENTRAUX,YOHIMBINE,Association DECONSEILLEE
ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS,ALPHABLOQUANTS À VISÉE UROLOGIQUE,A prendre en compte
ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS,ANTIHYPERTENSEURS ALPHA-BLOQUANTS,A prendre en compte
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,AUTRES ANTI-INFLAMMATOIRES NON STÉROÏDIENS,Association DECONSEILLEE
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,ACIDE ACETYLSALICYLIQUE,ASDEC - APEC
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,Précaution d'emploi
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,ANTIAGRÉGANTS PLAQUETTAIRES,A prendre en compte
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,ANTICOAGULANTS ORAUX,Association DECONSEILLEE
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,BÊTA-BLOQUANTS (SAUF ESMOLOL),A prendre en compte
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,CICLOSPORINE,Précaution d'emploi
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,COBIMÉTINIB,Précaution d'emploi
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,DEFERASIROX,A prendre en compte
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,DIURÉTIQUES,Précaution d'emploi
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,GLUCOCORTICOÏDES (SAUF HYDROCORTISONE),A prendre en compte
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,HÉPARINES (DOSES CURATIVES ET/OU SUJET ÂGÉ),Association DECONSEILLEE
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,HÉPARINES (DOSES PRÉVENTIVES),A prendre en compte
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,INHIBITEURS DE L'ENZYME DE CONVERSION,Précaution d'emploi
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,A prendre en compte
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,LITHIUM,Association DECONSEILLEE
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,MÉDICAMENTS MIXTES ADRÉNERGIQUES-SÉROTONINERGIQUES,A prendre en compte
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,METHOTREXATE,ASDEC - PE
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,MIFAMURTIDE,CONTRE-INDICATION
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,NICORANDIL,Association DECONSEILLEE
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,PEMETREXED,ASDEC - PE
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,PENTOXIFYLLINE,A prendre en compte
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,TACROLIMUS,Précaution d'emploi
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,TENOFOVIR DISOPROXIL,Précaution d'emploi
ANTIPARASITAIRES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,CIASDEC
ANTIPARKINSONIENS ANTICHOLINERGIQUES,ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,Précaution d'emploi
ANTIPARKINSONIENS DOPAMINERGIQUES,NEUROLEPTIQUES ANTIPSYCHOTIQUES (SAUF CLOZAPINE),Association DECONSEILLEE
ANTIPURINES,ANTIVITAMINES K,Précaution d'emploi
ANTIPURINES,DÉRIVÉS DE L'ACIDE AMINOSALICYLIQUE (ASA),A prendre en compte
ANTIPURINES,INHIBITEURS DE LA XANTHINE OXYDASE,CONTRE-INDICATION
ANTIPURINES,RIBAVIRINE,Association DECONSEILLEE
ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,ATAZANAVIR,A prendre en compte
ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,CYANOCOBALAMINE,A prendre en compte
ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,INHIBITEURS DES TYROSINE KINASES MÉTABOLISÉS,A prendre en compte
ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,ITRACONAZOLE,A prendre en compte
ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,KETOCONAZOLE,A prendre en compte
ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,POSACONAZOLE,Association DECONSEILLEE
ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,RILPIVIRINE,A prendre en compte
ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,ULIPRISTAL,A prendre en compte
ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,ATAZANAVIR,Association DECONSEILLEE
ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,CYANOCOBALAMINE,A prendre en compte
ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,INHIBITEURS DES TYROSINE KINASES MÉTABOLISÉS,A prendre en compte
ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,ITRACONAZOLE,A prendre en compte
ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,KETOCONAZOLE,A prendre en compte
ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,LÉDIPASVIR,Précaution d'emploi
ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,METHOTREXATE,ASDEC - APEC
ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,MILLEPERTUIS,A prendre en compte
ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,MYCOPHENOLATE MOFETIL,A prendre en compte
ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,POSACONAZOLE,Association DECONSEILLEE
ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,RILPIVIRINE,CONTRE-INDICATION
ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,ULIPRISTAL,A prendre en compte
ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,VELPATASVIR,Association DECONSEILLEE
ANTISEPTIQUES MERCURIELS,POVIDONE IODÉE,Association DECONSEILLEE
ANTISPASMODIQUES URINAIRES,INHIBITEURS PUISSANTS DU CYP3A4,Précaution d'emploiA prendre en compteCIASDECPEASDEC - PE
ANTI-TNF ALPHA,ABATACEPT,Association DECONSEILLEE
ANTI-TNF ALPHA,ANAKINRA,Association DECONSEILLEE
ANTI-TNF ALPHA,CANAKINUMAB,Association DECONSEILLEE
ANTI-TNF ALPHA,VACCINS VIVANTS ATTÉNUÉS,CONTRE-INDICATION
ANTITUSSIFS MORPHINE-LIKE,ANALGÉSIQUES MORPHINIQUES AGONISTES,A prendre en compte
ANTITUSSIFS MORPHINE-LIKE,METHADONE,A prendre en compte
ANTITUSSIFS MORPHINIQUES VRAIS,ANALGÉSIQUES MORPHINIQUES AGONISTES,A prendre en compte
ANTITUSSIFS MORPHINIQUES VRAIS,METHADONE,A prendre en compte
ANTITUSSIFS MORPHINIQUES VRAIS,MORPHINIQUES AGONISTES-ANTAGONISTES,Association DECONSEILLEE
ANTI-INFECTIEUX ET HEMOSTASE,ALLOPURINOL,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,AMIODARONE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,ANDROGÈNES,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,ANTIPURINES,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,APALUTAMIDE,Association DECONSEILLEE
ANTI-INFECTIEUX ET HEMOSTASE,APREPITANT,A prendre en compte
ANTI-INFECTIEUX ET HEMOSTASE,BOSENTAN,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,CEFAMANDOLE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,CEFAZOLINE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,CEFTRIAXONE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,CIMETIDINE,A prendre en compte
ANTI-INFECTIEUX ET HEMOSTASE,CLINDAMYCINE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,COLCHICINE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,CYCLINES,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,CYTOTOXIQUES,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,DANAZOL,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,DEFERASIROX,A prendre en compte
ANTI-INFECTIEUX ET HEMOSTASE,DISULFIRAME,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,ECONAZOLE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,EFAVIRENZ,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,FIBRATES,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,FLUCONAZOLE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,FLUOROQUINOLONES,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,"FLUOROURACILE (ET, PAR EXTRAPOLATION, AUTRES FLUOROPYRIMIDINES)",Association DECONSEILLEE
ANTI-INFECTIEUX ET HEMOSTASE,GLUCOSAMINE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,LEVOCARNITINE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,MACROLIDES (SAUF SPIRAMYCINE),Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,METHYLPREDNISOLONE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,MICONAZOLE,CONTRE-INDICATION
ANTI-INFECTIEUX ET HEMOSTASE,MILLEPERTUIS,CONTRE-INDICATION
ANTI-INFECTIEUX ET HEMOSTASE,NEVIRAPINE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,NOSCAPINE,Association DECONSEILLEE
ANTI-INFECTIEUX ET HEMOSTASE,ORLISTAT,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,PARACETAMOL,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,PENTOXIFYLLINE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,PRISTINAMYCINE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,PROGUANIL,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,RIFAMPICINE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,ROPINIROLE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,SULFAMETHOXAZOLE,Association DECONSEILLEE
ANTI-INFECTIEUX ET HEMOSTASE,TAMOXIFENE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,TIBOLONE,Précaution d'emploi
ANTI-INFECTIEUX ET HEMOSTASE,VORICONAZOLE,Précaution d'emploi
APALUTAMIDE,ANTIVITAMINES K,Association DECONSEILLEE
APALUTAMIDE,ATORVASTATINE,Association DECONSEILLEE
APALUTAMIDE,CABAZITAXEL,Association DECONSEILLEE
APALUTAMIDE,DOCETAXEL,Association DECONSEILLEE
APALUTAMIDE,IMMUNOSUPPRESSEURS,Association DECONSEILLEE
APALUTAMIDE,INHIBITEURS DES TYROSINE KINASES MÉTABOLISÉS,Association DECONSEILLEE
APALUTAMIDE,IRINOTECAN,Association DECONSEILLEE
APALUTAMIDE,METHADONE,Association DECONSEILLEE
APALUTAMIDE,OLAPARIB,Association DECONSEILLEE
APALUTAMIDE,OMEPRAZOLE,Association DECONSEILLEE
APALUTAMIDE,PIMOZIDE,Association DECONSEILLEE
APALUTAMIDE,SIMVASTATINE,Association DECONSEILLEE
APALUTAMIDE,TICAGRELOR,Association DECONSEILLEE
APALUTAMIDE,VINCA-ALCALOÏDES CYTOTOXIQUES,Association DECONSEILLEE
APIXABAN,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
APIXABAN,FLUCONAZOLE,Association DECONSEILLEE
APIXABAN,INHIBITEURS PUISSANTS DU CYP3A4,Association DECONSEILLEE
APIXABAN,RIFAMPICINE,Association DECONSEILLEE
APOMORPHINE,ONDANSETRON,CONTRE-INDICATION
APRÉMILAST,INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
APREPITANT,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
APREPITANT,ANTIVITAMINES K,A prendre en compte
APREPITANT,CYPROTERONE,Précaution d'emploi
APREPITANT,ESTROPROGESTATIFS CONTRACEPTIFS,Précaution d'emploi
APREPITANT,IFOSFAMIDE,A prendre en compte
APREPITANT,ITRACONAZOLE,A prendre en compte
APREPITANT,PIMOZIDE,CONTRE-INDICATION
APREPITANT,PROGESTATIFS CONTRACEPTIFS,Précaution d'emploi
APREPITANT,RIFAMPICINE,Association DECONSEILLEE
ARIPIPRAZOLE,INDUCTEURS ENZYMATIQUES,Précaution d'emploi
ARIPIPRAZOLE,NEUROLEPTIQUES ANTIPSYCHOTIQUES (SAUF CLOZAPINE),A prendre en compte
ARSENIEUX,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,CIASDEC
ATALUREN,AMINOSIDES,CONTRE-INDICATION
ATAZANAVIR,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,A prendre en compte
ATAZANAVIR,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,Association DECONSEILLEE
ATAZANAVIR,BICTÉGRAVIR,Association DECONSEILLEE
ATAZANAVIR,BUPRENORPHINE,A prendre en compte
ATAZANAVIR,CLARITHROMYCINE,Précaution d'emploi
ATAZANAVIR,EFAVIRENZ,Association DECONSEILLEE
ATAZANAVIR,ETRAVIRINE,Association DECONSEILLEE
ATAZANAVIR,GLÉCAPRÉVIR  PIBRENTASVIR,CONTRE-INDICATION
ATAZANAVIR,NEVIRAPINE,Association DECONSEILLEE
ATAZANAVIR,POSACONAZOLE,A prendre en compte
ATAZANAVIR,TENOFOVIR DISOPROXIL,A prendre en compte
ATORVASTATINE,APALUTAMIDE,Association DECONSEILLEE
ATORVASTATINE,AZITHROMYCINE,Précaution d'emploi
ATORVASTATINE,CICLOSPORINE,Précaution d'emploi
ATORVASTATINE,CLARITHROMYCINE,Précaution d'emploi
ATORVASTATINE,DILTIAZEM,Précaution d'emploi
ATORVASTATINE,ERYTHROMYCINE,Précaution d'emploi
ATORVASTATINE,GLÉCAPRÉVIR  PIBRENTASVIR,CONTRE-INDICATION
ATORVASTATINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Association DECONSEILLEE
ATORVASTATINE,ITRACONAZOLE,CONTRE-INDICATION
ATORVASTATINE,KETOCONAZOLE,CONTRE-INDICATION
ATORVASTATINE,OMBITASVIR  PARITAPRÉVIR,CONTRE-INDICATION
ATORVASTATINE,PAMPLEMOUSSE (JUS ET FRUIT),A prendre en compte
ATORVASTATINE,PONATINIB,Précaution d'emploi
ATORVASTATINE,POSACONAZOLE,CONTRE-INDICATION
ATORVASTATINE,RANOLAZINE,Précaution d'emploi
ATORVASTATINE,RIFAMPICINE,Association DECONSEILLEE
ATORVASTATINE,ROXITHROMYCINE,Précaution d'emploi
ATORVASTATINE,STIRIPENTOL,CONTRE-INDICATION
ATORVASTATINE,TELITHROMYCINE,CONTRE-INDICATION
ATORVASTATINE,VERAPAMIL,Précaution d'emploi
ATOVAQUONE,EFAVIRENZ,Association DECONSEILLEE
ATOVAQUONE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Association DECONSEILLEE
ATOVAQUONE,RIFABUTINE,A prendre en compte
ATOVAQUONE,RIFAMPICINE,Association DECONSEILLEE
AVANAFIL,PAMPLEMOUSSE (JUS ET FRUIT),Association DECONSEILLEE
AZITHROMYCINE,ATORVASTATINE,Précaution d'emploi
AZITHROMYCINE,CICLOSPORINE,Précaution d'emploi
AZITHROMYCINE,DIGOXINE,Précaution d'emploi
AZITHROMYCINE,IVABRADINE,Précaution d'emploi
AZITHROMYCINE,SIMVASTATINE,Précaution d'emploi
AZITHROMYCINE,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,Précaution d'emploi
AZTREONAM,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",Précaution d'emploi
BACLOFENE,LEVODOPA,A prendre en compte
BARBITURIQUES,BENZODIAZÉPINES ET APPARENTÉS,A prendre en compte
BARBITURIQUES,MORPHINIQUES,A prendre en compte
BARBITURIQUES,OXYBATE DE SODIUM,CONTRE-INDICATION
BAZÉDOXIFÈNE,INDUCTEURS ENZYMATIQUES,Précaution d'emploi
BÉDAQUILINE,INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
BÉDAQUILINE,INHIBITEURS PUISSANTS DU CYP3A4,Association DECONSEILLEE
BÉDAQUILINE,MILLEPERTUIS,Association DECONSEILLEE
BÉLATACEPT,VACCINS VIVANTS ATTÉNUÉS,Association DECONSEILLEE
BENZODIAZÉPINES ET APPARENTÉS,BARBITURIQUES,A prendre en compte
BENZODIAZÉPINES ET APPARENTÉS,BUPRENORPHINE,A prendre en compte
BENZODIAZÉPINES ET APPARENTÉS,CLOZAPINE,A prendre en compte
BENZODIAZÉPINES ET APPARENTÉS,MORPHINIQUES,A prendre en compte
BÊTA-2 MIMÉTIQUES,BÊTA-BLOQUANTS NON CARDIO-SÉLECTIFS,A prendre en compte
BÊTA-2 MIMÉTIQUES,HALOTHANE,Association DECONSEILLEE
BÊTA-2 MIMÉTIQUES,INSULINE,Précaution d'emploi
BÊTA-2 MIMÉTIQUES,SULFAMIDES HYPOGLYCÉMIANTS,Précaution d'emploi
BÊTA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL),AMIODARONE,Précaution d'emploi
BÊTA-BLOQUANTS (SAUF ESMOLOL),ANESTHÉSIQUES VOLATILS HALOGÉNÉS,Précaution d'emploi
BÊTA-BLOQUANTS (SAUF ESMOLOL),ANTIHYPERTENSEURS CENTRAUX,Précaution d'emploi
BÊTA-BLOQUANTS (SAUF ESMOLOL),ANTI-INFLAMMATOIRES NON STÉROÏDIENS,A prendre en compte
BÊTA-BLOQUANTS (SAUF ESMOLOL),DIHYDROPYRIDINES,A prendre en compte
BÊTA-BLOQUANTS (SAUF ESMOLOL),DILTIAZEM,Association DECONSEILLEE
BÊTA-BLOQUANTS (SAUF ESMOLOL),DIPYRIDAMOLE,A prendre en compte
BÊTA-BLOQUANTS (SAUF ESMOLOL),GLINIDES,Précaution d'emploi
BÊTA-BLOQUANTS (SAUF ESMOLOL),GLIPTINES,Précaution d'emploi
BÊTA-BLOQUANTS (SAUF ESMOLOL),INSULINE,Précaution d'emploi
BÊTA-BLOQUANTS (SAUF ESMOLOL),LIDOCAINE,Précaution d'emploi
BÊTA-BLOQUANTS (SAUF ESMOLOL),PROPAFENONE,Précaution d'emploi
BÊTA-BLOQUANTS (SAUF ESMOLOL),SULFAMIDES HYPOGLYCÉMIANTS,Précaution d'emploi
BÊTA-BLOQUANTS (SAUF ESMOLOL),VERAPAMIL,Association DECONSEILLEE
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,AMIODARONE,Précaution d'emploi
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,ANESTHÉSIQUES VOLATILS HALOGÉNÉS,Précaution d'emploi
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,ANTICHOLINESTÉRASIQUES,Précaution d'emploi
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,ANTIDÉPRESSEURS IMIPRAMINIQUES,A prendre en compte
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,ANTIHYPERTENSEURS CENTRAUX,Association DECONSEILLEE
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,DIGOXINE,A prendre en compte
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,DIHYDROPYRIDINES,A prendre en compte
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,DILTIAZEM,Association DECONSEILLEE
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,GLINIDES,Précaution d'emploi
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,INSULINE,Précaution d'emploi
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,LIDOCAINE,A prendre en compte
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,MEXILETINE,CONTRE-INDICATION
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,NEUROLEPTIQUES,A prendre en compte
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,Précaution d'emploi
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,SULFAMIDES HYPOGLYCÉMIANTS,Précaution d'emploi
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,VERAPAMIL,Association DECONSEILLEE
BÊTA-BLOQUANTS NON CARDIO-SÉLECTIFS,BÊTA-2 MIMÉTIQUES,A prendre en compte
BICTÉGRAVIR,ATAZANAVIR,Association DECONSEILLEE
BICTÉGRAVIR,FER,Précaution d'emploi
BICTÉGRAVIR,INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
BICTÉGRAVIR,MILLEPERTUIS,CONTRE-INDICATION
BICTÉGRAVIR,RIFAMPICINE,CONTRE-INDICATION
BISPHOSPHONATES,CALCIUM,Précaution d'emploi
BISPHOSPHONATES,FER,Précaution d'emploi
BLEOMYCINE,BRENTUXIMAB,CONTRE-INDICATION
BORTEZOMIB,INDUCTEURS ENZYMATIQUES,A prendre en compte
BORTEZOMIB,INHIBITEURS PUISSANTS DU CYP3A4,Précaution d'emploi
BOSENTAN,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
BOSENTAN,ANTIVITAMINES K,Précaution d'emploi
BOSENTAN,CICLOSPORINE,CONTRE-INDICATION
BOSENTAN,CYPROTERONE,Précaution d'emploi
BOSENTAN,ESTROPROGESTATIFS CONTRACEPTIFS,Précaution d'emploi
BOSENTAN,GLIBENCLAMIDE,Précaution d'emploi
BOSENTAN,INHIBITEURS PUISSANTS DU CYP3A4,Précaution d'emploi
BOSENTAN,PROGESTATIFS CONTRACEPTIFS,Précaution d'emploi
BOSENTAN,"PROGESTATIFS NON CONTRACEPTIFS, ASSOCIÉS OU NON À UN ESTROGÈNE",Précaution d'emploi
BOSENTAN,RIFAMPICINE,Association DECONSEILLEE
BOTULIQUE (TOXINE),AMINOSIDES,Association DECONSEILLEE
BRADYCARDISANTS,AUTRES BRADYCARDISANTS,A prendre en compte
BRADYCARDISANTS,FINGOLIMOD,Association DECONSEILLEE
BRADYCARDISANTS,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,Précaution d'emploi
BRENTUXIMAB,BLEOMYCINE,CONTRE-INDICATION
BRENTUXIMAB,INHIBITEURS PUISSANTS DU CYP3A4,A prendre en compte
BUPRENORPHINE,ATAZANAVIR,A prendre en compte
BUPRENORPHINE,BENZODIAZÉPINES ET APPARENTÉS,A prendre en compte
BUPRENORPHINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,A prendre en compte
BUPRENORPHINE,ITRACONAZOLE,Précaution d'emploi
BUPRENORPHINE,KETOCONAZOLE,Précaution d'emploi
BUPROPION,CLOMIPRAMINE,Précaution d'emploi
BUPROPION,DESIPRAMINE,Précaution d'emploi
BUPROPION,FLECAINIDE,Précaution d'emploi
BUPROPION,IMAO-B,CONTRE-INDICATION
BUPROPION,MEQUITAZINE,Association DECONSEILLEE
BUPROPION,METOPROLOL,Précaution d'emploi
BUPROPION,NORTRIPTYLINE,Précaution d'emploi
BUPROPION,PROPAFENONE,Précaution d'emploi
BUPROPION,TAMOXIFENE,Association DECONSEILLEE
BUPROPION,TETRABENAZINE,CONTRE-INDICATION
BUPROPION,TRAMADOL,A prendre en compte
BUPROPION,VÉMURAFÉNIB,A prendre en compte
BUSPIRONE,DIAZEPAM,A prendre en compte
BUSPIRONE,DILTIAZEM,Précaution d'emploi
BUSPIRONE,ERYTHROMYCINE,Association DECONSEILLEE
BUSPIRONE,ITRACONAZOLE,Association DECONSEILLEE
BUSPIRONE,MILLEPERTUIS,CONTRE-INDICATION
BUSPIRONE,PAMPLEMOUSSE (JUS ET FRUIT),A prendre en compte
BUSPIRONE,RIFAMPICINE,Précaution d'emploi
BUSPIRONE,VERAPAMIL,Précaution d'emploi
BUSULFAN,DEFERASIROX,A prendre en compte
BUSULFAN,ITRACONAZOLE,Association DECONSEILLEE
BUSULFAN,METRONIDAZOLE,Association DECONSEILLEE
CABAZITAXEL,APALUTAMIDE,Association DECONSEILLEE
CABAZITAXEL,INDUCTEURS ENZYMATIQUES,A prendre en compte
CABAZITAXEL,INHIBITEURS PUISSANTS DU CYP3A4,Précaution d'emploi
CAFEINE,CIPROFLOXACINE,A prendre en compte
CAFEINE,DIPYRIDAMOLE,Précaution d'emploi
CAFEINE,ENOXACINE,Association DECONSEILLEE
CAFEINE,LITHIUM,A prendre en compte
CAFEINE,MEXILETINE,A prendre en compte
CAFEINE,NORFLOXACINE,A prendre en compte
CAFEINE,STIRIPENTOL,Précaution d'emploi
CALCITONINE,LITHIUM,Précaution d'emploi
CALCIUM,BISPHOSPHONATES,Précaution d'emploi
CALCIUM,CYCLINES,Précaution d'emploi
CALCIUM,DIGOXINE,CI - PE
CALCIUM,DIURÉTIQUES THIAZIDIQUES ET APPARENTÉS,A prendre en compte
CALCIUM,ESTRAMUSTINE,Précaution d'emploi
CALCIUM,FER,Précaution d'emploi
CALCIUM,HORMONES THYROÏDIENNES,Précaution d'emploi
CALCIUM,STRONTIUM,Précaution d'emploi
CALCIUM,ZINC,Précaution d'emploi
CANAKINUMAB,ANTI-TNF ALPHA,Association DECONSEILLEE
CARBAMAZEPINE,ACETAZOLAMIDE,Précaution d'emploi
CARBAMAZEPINE,CIMETIDINE,Précaution d'emploi
CARBAMAZEPINE,CLARITHROMYCINE,Précaution d'emploi
CARBAMAZEPINE,CLONAZEPAM,Précaution d'emploi
CARBAMAZEPINE,DANAZOL,Précaution d'emploi
